RegionID,RegionName,StateName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02
41690,White House,Tennessee,1653,148200,152800,157700,153200,144900,1.44E+05,146600,143400,145700,146800,158300,148400,144700,140900,1.43E+05,138400,129800,126400,140400,1.52E+05,153800,154700,1.41E+05,149400,142400,152100,151500,150200,152900,1.50E+05,160300,1.57E+05,153100,140300,147600,153900,143100,126400,114400,122500,128500,131900,139300,151600,157300,163900,154800,150800,140500,137600,136100,133800,141600,139900,151900,143500,151200,1.46E+05,1.52E+05,152800,155800,157800,157700,147800,141400,152300,162400,166700,161600,160600,156500,154900,153300,151500,143800,1.46E+05,158700,164400,160600,155800,152800,158600,164300,1.67E+05,162800,157900,165700,168300,1.69E+05,163600,165700,165500,174300,175400,181900,184300,195200,197900,201300,205500,204400,187600,185800,186400,196600,193100,190200,198400,194200,2.04E+05,198100,202100,208300,212600,221900,222900,2.18E+05,215200,207700,
28336,Beachwood,New Jersey,1654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222100,215800,221200,221400,226400,228600,227800,222500,209700,211100,211500,205800,206400,204700,203800,213100,198900,218300,207500,215900,197100,182100,196800,205300,2.27E+05,211100,202500,1.84E+05,189100,202600,2.16E+05,230600,216600,219200,
398871, Oregon,Wisconsin,1655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207500,211400,2.19E+05,243500,233200,232800,232100,247100,249200,252600,251600,255100,265400,2.59E+05,266400,248700,257300,243900,254900,241400,246900,257700,261700,220800,216900,213800,2.51E+05,235900,227100,252600,246700,275700,264800,278700,283300,
29189,Littlerock,California,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167200,174500,179900,182400,180400,1.97E+05,186200,189600,208100,218400,215400,183500,190100,185200,189600,177700,190900,198400,216700,223300,219500,206500,212500,2.25E+05,246300,243900,238100,225100,232300,2.35E+05,244500,243300,265600,2.74E+05,263400,265400,265400,273500,258800
30459,Big Bear City,California,1657,2.05E+05,219600,2.13E+05,2.13E+05,192100,187300,183800,187900,177500,161800,158100,171200,165600,154300,143200,166300,175500,160500,145400,139600,157200,163100,159200,153700,144400,146400,135900,137300,134900,130900,126600,117100,134700,142700,151300,142900,124200,129700,120700,132400,116300,114500,113200,120400,125900,122800,128500,123300,123800,119900,125600,138800,138800,144800,142400,138500,137400,131700,137200,131900,135700,140200,140600,138800,138200,145900,159400,162500,163600,157900,160400,154700,142800,136100,1.51E+05,166100,174400,170800,168500,168900,163400,160900,153500,164400,170500,180600,174200,166800,164400,160300,167500,163100,164500,171700,188300,196900,191300,185900,182900,192700,1.95E+05,197600,185800,1.93E+05,208400,214300,209500,199900,2.01E+05,205600,201100,212200,218200,220700,219600,212700,229600,238100,243400,241100
398408,Rapho,Pennsylvania,1658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205300,2.36E+05,2.18E+05,237200,200300,205500,229800,2.28E+05,245900,233600,241200,218200,203600,2.15E+05,227100,222100,233100,240700,2.64E+05,246600,253100,266400,293300,281800,249500,229600,235200,271500,291400,266200,265300,
29344,Saratoga Springs,Utah,1659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238100,230400,227700,213300,2.14E+05,216200,238600,229600,216400,217300,223300,237700,222300,218900,232900,2.40E+05,252200,226900,223200,218500,229200,234400,250100,250500,249500,225800,234700,236500,258800,251500,261600,251800,248200,2.61E+05,2.61E+05,284400,267400,271500,257400,254200,251300,245900,249500,266200,280200,284700,280800,280200,270100,2.72E+05,264300,280700,289400,300200,298200,294700,289500,291900,286200,289500,2.97E+05,303300,302800,299500,290800,300800,294600,298700,3.07E+05,3.18E+05,327400,322900,312500,3.01E+05,301300,290600,289100,266800,297600,,,
6015,Monroe,Ohio,1660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138900,140200,140900,140800,145600,147900,149400,150400,154200,153900,158800,163200,151600,157700,159200,165300,160100,158500,162400,154900,150100,152900,1.60E+05,158500,152800,143500,154900,1.58E+05,162100,155900,1.59E+05,163300,164300,162100,158600,163900,1.63E+05,172300,162800,169400,165500,170700,166700,172300,174300,1.76E+05,169100,1.64E+05,168300,171300,1.85E+05,192300,196500,186200,181600,182300,189600,190100,182300,180900,165300,
35457,Holbrook,Massachusetts,1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,285500,286300,273800,2.43E+05,241100,262900,264100,272100,253400,267300,267600,268100,258900,261300,2.72E+05,271500,270100,260100,273100,276700,278700,287400,308500,332800,333100,313700,3.02E+05,291800,291400,290100,2.95E+05,300700,306400,
44402,Calera,Alabama,1662,139800,138700,134100,134900,132400,1.28E+05,1.23E+05,1.19E+05,129400,143100,143500,144300,129500,140600,128800,1.33E+05,124300,127100,124300,124400,121500,134300,131100,129900,111500,116300,119600,1.22E+05,113900,102300,94800,89300,9.70E+04,110500,107300,1.12E+05,102900,105300,81400,85500,83600,90100,82500,88300,93800,1.07E+05,105900,118500,106800,111600,106200,120400,123900,117900,110500,102600,116400,124500,127400,127700,120400,120300,109400,108400,111500,112500,112600,109300,107800,109500,1.11E+05,115800,110700,108100,1.05E+05,109500,111100,112400,111600,113200,115300,120500,120200,116500,116900,117700,1.22E+05,122400,123400,120500,121600,120400,118900,115500,117900,121600,124500,126700,127300,128500,123500,136900,139200,146200,138700,1.38E+05,135800,131600,125600,129200,130400,131800,130600,129500,137900,141100,147600,151600,148300,150800
